Frame,Chain,MgID,ListResids,ListResnames,ListAtoms
0,PP1,310,60,POPE, O13
0,PP1,323,5,POPE, O14
1,PP1,310,60,POPE, O13
1,PP1,323,5,POPE, O14
2,PP1,310,60,POPE, O13
2,PP1,323,5,POPE, O14
3,PP1,310,60,POPE, O13
3,PP1,323,5,POPE, O14
4,PP1,310,60,POPE, O13
4,PP1,323,5,POPE, O14
5,PP1,310,60,POPE, O13
5,PP1,323,5,POPE, O14
6,PP1,310,60,POPE, O13
6,PP1,323,5,POPE, O14
7,PP1,310,60,POPE, O13
7,PP1,323,5,POPE, O14
8,PP1,310,60,POPE, O13
8,PP1,323,5,POPE, O14
9,PP1,310,60,POPE, O13
9,PP1,323,5,POPE, O14
10,PP1,310,60,POPE, O13
10,PP1,323,5,POPE, O14
11,PP1,310,60,POPE, O13
11,PP1,323,5,POPE, O14
12,PP1,310,60,POPE, O13
12,PP1,323,5,POPE, O14
13,PP1,289,,, 
13,PP1,310,60,POPE, O13
13,PP1,323,5,POPE, O14
14,PP1,310,60,POPE, O13 P
14,PP1,323,5,POPE, O14
15,PP1,310,60,POPE, O13
15,PP1,323,5,POPE, O14
16,PP1,310,60,POPE, O13
16,PP1,323,5,POPE, O14
17,PP1,310,60,POPE, O13
17,PP1,323,5,POPE, O14
18,PP1,310,60,POPE, O13
18,PP1,323,5,POPE, O14
19,PP1,310,60,POPE, O13
19,PP1,323,5,POPE, O14
20,PP1,310,60,POPE, O13 P
20,PP1,323,5,POPE, O14
21,PP1,310,60,POPE, O13
21,PP1,323,5,POPE, O14
22,PP1,310,60,POPE, O13
22,PP1,323,5,POPE, O14
23,PP1,310,60,POPE, O13
23,PP1,323,5,POPE, O14
24,PP1,310,60,POPE, O13
24,PP1,323,5,POPE, O14
25,PP1,310,60,POPE, O13
25,PP1,323,5,POPE, O14
26,PP1,310,60,POPE, O13
26,PP1,323,5,POPE, O14
27,PP1,310,60,POPE, O13
27,PP1,323,5,POPE, O14
28,PP1,310,60,POPE, O13
28,PP1,323,5,POPE, O14
29,PP1,310,60,POPE, O13
29,PP1,323,5,POPE, O14
30,PP1,310,60,POPE, O13
30,PP1,323,5,POPE, O14
31,PP1,310,60,POPE, O13
31,PP1,323,5,POPE, O14
32,PP1,310,60,POPE, O13
32,PP1,323,5,POPE, O14
33,PP1,310,60,POPE, O13
33,PP1,323,5,POPE, O14
34,PP1,310,60,POPE, O13
34,PP1,323,5,POPE, O14
35,PP1,310,60,POPE, O13
35,PP1,323,5,POPE, O14
36,PP1,310,60,POPE, O13
36,PP1,323,5,POPE, O14
37,PP1,310,60,POPE, O13
37,PP1,323,5,POPE, O14
38,PP1,310,60,POPE, O13
38,PP1,323,5,POPE, O14
39,PP1,310,60,POPE, O13
39,PP1,323,5,POPE, O14
40,PP1,310,60,POPE, O13
40,PP1,323,5,POPE, O14
41,PP1,310,60,POPE, O13
41,PP1,323,5,POPE, O14
42,PP1,310,60,POPE, O13
42,PP1,323,5,POPE, O14
43,PP1,310,60,POPE, O13
43,PP1,323,5,POPE, O14
44,PP1,310,60,POPE, O13
44,PP1,323,5,POPE, O14
45,PP1,310,60,POPE, O13
45,PP1,323,5,POPE, O14
46,PP1,310,60,POPE, O13
46,PP1,323,5,POPE, O14
47,PP1,310,60,POPE, O13
47,PP1,323,5,POPE, O14
48,PP1,310,60,POPE, O13
48,PP1,323,5,POPE, O14
49,PP1,310,60,POPE, O13
