Frame,Chain,MgID,WaterID,ListResids,ListResnames,ListAtoms
0,PP1,310,3739,,, 
0,PP1,310,4054,60,POPE, O13
0,PP1,310,4452,60,POPE, O13
0,PP1,323,5514,,, 
0,PP1,323,5539,5,POPE, O14
0,PP1,323,5586,5,POPE, O14
1,PP1,310,3739,104 74,POPE, HN1 HN2 O12 O14
1,PP1,310,4054,53 60,POPE, O11 O13 P
1,PP1,310,4452,60 74,POPE, O12 O13 O14 P
1,PP1,323,5514,,, 
1,PP1,323,5539,5,POPE, O14
1,PP1,323,5586,5,POPE, O14
2,PP1,310,3739,74,POPE, HN3 O12
2,PP1,310,4054,53 60,POPE, O13 P
2,PP1,310,4452,60 74,POPE, O12 O13 O14
2,PP1,323,5514,,, 
2,PP1,323,5539,5,POPE, O14
2,PP1,323,5586,5,POPE, O14
3,PP1,310,3739,,, 
3,PP1,310,4054,60,POPE, O13
3,PP1,310,4452,60,POPE, O13
3,PP1,323,5514,,, 
3,PP1,323,5539,5,POPE, O14
3,PP1,323,5586,5,POPE, O14
4,PP1,310,3739,74,POPE, O14 P
4,PP1,310,4054,60,POPE, O13
4,PP1,310,4452,60,POPE, O13
4,PP1,323,5514,,, 
4,PP1,323,5539,5,POPE, O14
4,PP1,323,5586,5,POPE, O14
5,PP1,310,3739,,, 
5,PP1,310,4054,60,POPE, O13
5,PP1,310,4452,60 74,POPE, O13 O14
5,PP1,323,5514,,, 
5,PP1,323,5539,5,POPE, O14
5,PP1,323,5586,5,POPE, O14
6,PP1,310,3739,74,POPE, O12
6,PP1,310,4054,53 59 60,POPE, HN1 O13 O14
6,PP1,310,4452,60 74,POPE, O13 O14 P
6,PP1,323,5514,,, 
6,PP1,323,5539,5,POPE, O14
6,PP1,323,5586,5,POPE, O14
7,PP1,310,3739,,, 
7,PP1,310,4054,60,POPE, O13
7,PP1,310,4452,104 60 74,POPE, HN2 O13 O14 P
7,PP1,323,5514,,, 
7,PP1,323,5539,5,POPE, O14
7,PP1,323,5586,5,POPE, O14
8,PP1,310,3739,,, 
8,PP1,310,4054,60,POPE, O13
8,PP1,310,4452,60 74,POPE, HN3 O13 O14 P
8,PP1,323,5514,,, 
8,PP1,323,5539,5,POPE, O14
8,PP1,323,5586,5,POPE, O14
9,PP1,310,3739,,, 
9,PP1,310,4054,60,POPE, O13
9,PP1,310,4452,60 74,POPE, O12 O13 O14 P
9,PP1,323,5514,,, 
9,PP1,323,5539,5,POPE, O14
9,PP1,323,5586,5,POPE, O14
10,PP1,310,3739,74,POPE, O13
10,PP1,310,4054,60,POPE, O13
10,PP1,310,4452,60 74,POPE, O13 O14 P
10,PP1,323,5514,,, 
10,PP1,323,5539,5,POPE, O14
10,PP1,323,5586,5,POPE, O14
11,PP1,310,3739,,, 
11,PP1,310,4054,60,POPE, O13
11,PP1,310,4452,60 74,POPE, O13 O14 P
11,PP1,323,5514,,, 
11,PP1,323,5539,5,POPE, O14
11,PP1,323,5586,5,POPE, O14
12,PP1,310,3739,,, 
12,PP1,310,4054,60,POPE, O13
12,PP1,310,4452,60 74,POPE, O12 O13 O14 P
12,PP1,323,5514,,, 
12,PP1,323,5539,5,POPE, O14
12,PP1,323,5586,5,POPE, O14
13,PP1,289,2976,,, 
13,PP1,289,3629,,, 
13,PP1,289,4260,,, 
13,PP1,289,4351,,, 
13,PP1,289,8049,,, 
13,PP1,310,3739,74,POPE, O14 P
13,PP1,310,4054,59 60,POPE, O12 O13
13,PP1,310,4452,60,POPE, O11 O13
13,PP1,323,5514,,, 
13,PP1,323,5539,5,POPE, O14
13,PP1,323,5586,5,POPE, O14
14,PP1,310,3739,104 74,POPE, HN1 O14 P
14,PP1,310,4054,59 60,POPE, O13 P
14,PP1,310,4452,60,POPE, O11 O13
14,PP1,323,5514,,, 
14,PP1,323,5539,5,POPE, O14
14,PP1,323,5586,5,POPE, O14
15,PP1,310,3739,74,POPE, O14 P
15,PP1,310,4054,59 60,POPE, O13 P
15,PP1,310,4452,60,POPE, O13
15,PP1,323,5514,,, 
15,PP1,323,5539,5,POPE, O14
15,PP1,323,5586,5,POPE, O13 O14
16,PP1,310,3739,,, 
16,PP1,310,4054,59 60,POPE, O13 P
16,PP1,310,4452,60 74,POPE, O13 O14 P
16,PP1,323,5514,,, 
16,PP1,323,5539,5,POPE, O14
16,PP1,323,5586,5,POPE, O14
17,PP1,310,3739,,, 
17,PP1,310,4054,60,POPE, O13
17,PP1,310,4452,60 74,POPE, O13 O14 P
17,PP1,323,5514,,, 
17,PP1,323,5539,5,POPE, HN2 O14
17,PP1,323,5586,5,POPE, O14
18,PP1,310,3739,74,POPE, O13 O14 P
18,PP1,310,4054,60,POPE, O13
18,PP1,310,4452,60 74,POPE, O13 O14 P
18,PP1,323,5514,,, 
18,PP1,323,5539,5,POPE, O14
18,PP1,323,5586,5,POPE, O14
19,PP1,310,3739,74,POPE, O14
19,PP1,310,4054,60,POPE, O13
19,PP1,310,4452,60 74,POPE, O13 O14 P
19,PP1,323,5514,,, 
19,PP1,323,5539,5,POPE, O14
19,PP1,323,5586,5,POPE, O14
20,PP1,310,3739,,, 
20,PP1,310,4054,53 60,POPE, O13 O14 P
20,PP1,310,4452,60 74,POPE, O13 O14
20,PP1,323,5514,,, 
20,PP1,323,5539,5,POPE, O14
20,PP1,323,5586,5,POPE, O14
21,PP1,310,3739,59 74,POPE, HN2 HN3 N O14 P
21,PP1,310,4054,59 60,POPE, O13 O14
21,PP1,310,4452,60 74,POPE, O12 O13 O14 P
21,PP1,323,5514,,, 
21,PP1,323,5539,5,POPE, O14
21,PP1,323,5586,5,POPE, O14
22,PP1,310,3739,,, 
22,PP1,310,4054,60,POPE, O13
22,PP1,310,4452,59 60,POPE, O12 O13
22,PP1,323,5514,,, 
22,PP1,323,5539,5,POPE, O14
22,PP1,323,5586,5,POPE, O14
23,PP1,310,3739,74,POPE, HN1 O12
23,PP1,310,4054,60,POPE, O13
23,PP1,310,4452,60 74,POPE, O13 O14 P
23,PP1,323,5514,,, 
23,PP1,323,5539,5,POPE, O14
23,PP1,323,5586,5,POPE, O14
24,PP1,310,3739,,, 
24,PP1,310,4054,60,POPE, O13
24,PP1,310,4452,60 74,POPE, O13 O14
24,PP1,323,5514,,, 
24,PP1,323,5539,5,POPE, O14
24,PP1,323,5586,5,POPE, O14
25,PP1,310,3739,59,POPE, HN1
25,PP1,310,4054,60,POPE, O13
25,PP1,310,4452,60 74,POPE, O12 O13 O14 P
25,PP1,323,5514,,, 
25,PP1,323,5539,5,POPE, O14
25,PP1,323,5586,5,POPE, O14
26,PP1,310,3739,74,POPE, O12
26,PP1,310,4054,60,POPE, O13
26,PP1,310,4452,59 60 74,POPE, HN1 HN3 N O12 O13 O14 P
26,PP1,323,5514,,, 
26,PP1,323,5539,5,POPE, O14
26,PP1,323,5586,5,POPE, O14
27,PP1,310,3739,74,POPE, O12
27,PP1,310,4054,60,POPE, O13
27,PP1,310,4452,59 60 74,POPE, HN3 O13 O14 P
27,PP1,323,5514,,, 
27,PP1,323,5539,5,POPE, O14
27,PP1,323,5586,5,POPE, O14
28,PP1,310,3739,,, 
28,PP1,310,4054,59 60,POPE, HN2 O13
28,PP1,310,4452,60 74,POPE, O12 O13 O14 P
28,PP1,323,5514,,, 
28,PP1,323,5539,5,POPE, O14
28,PP1,323,5586,5,POPE, O14
29,PP1,310,3739,74,POPE, HN1 O13 O14 P
29,PP1,310,4054,59 60,POPE, HN3 O13
29,PP1,310,4452,60 74,POPE, HN1 O13 O14 P
29,PP1,323,5514,,, 
29,PP1,323,5539,5,POPE, O14
29,PP1,323,5586,5,POPE, O14
30,PP1,310,3739,,, 
30,PP1,310,4054,53 60,POPE, O13 P
30,PP1,310,4452,60 74,POPE, O13 O14 P
30,PP1,323,5514,,, 
30,PP1,323,5539,5,POPE, O14
30,PP1,323,5586,5,POPE, O14
31,PP1,310,3739,74,POPE, HN3
31,PP1,310,4054,53 60,POPE, O13 P
31,PP1,310,4452,53 60 74,POPE, O13 O14 P
31,PP1,323,5514,,, 
31,PP1,323,5539,5,POPE, O14
31,PP1,323,5586,5,POPE, O14
32,PP1,310,3739,74,POPE, O12 O14
32,PP1,310,4054,60,POPE, O13
32,PP1,310,4452,60 74,POPE, O13 O14 P
32,PP1,323,5514,,, 
32,PP1,323,5539,5,POPE, O14
32,PP1,323,5586,5,POPE, O14
33,PP1,310,3739,,, 
33,PP1,310,4054,60,POPE, O13
33,PP1,310,4452,59 60 74,POPE, HN2 O13 O14 P
33,PP1,323,5514,,, 
33,PP1,323,5539,5,POPE, O14
